group,density,table_kb,snort_cpu_s_per_gb_med,snort_cpu_s_per_gb_min,snort_cpu_s_per_gb_max,fpga_cpu_s_per_gb
$FTP_PORTS/0,0.00,2.246,11.527,11.439,11.69,
$FTP_PORTS/0,0.01,2.246,11.716,11.578,12.123,
$FTP_PORTS/0,0.10,2.246,12.935,12.818,13.465,
$ORACLE_PORTS/1,0.00,28.574,11.56,11.435,12.032,
$ORACLE_PORTS/1,0.01,28.574,11.887,11.832,12.063,
$ORACLE_PORTS/1,0.10,28.574,13.919,13.64,14.387,
$SIP_PORTS/0,0.00,0.977,11.473,11.279,11.526,
$SIP_PORTS/0,0.01,0.977,11.679,11.578,11.896,
$SIP_PORTS/0,0.10,0.977,13.25,13.068,13.372,
any/0,0.00,123.789,33.787,33.134,34.211,
any/0,0.01,123.789,34.255,32.705,34.565,
any/0,0.10,123.789,35.631,35.264,36.343,
literal/3,0.00,85.109,51.021,49.177,52.489,
literal/3,0.01,85.109,51.772,48.917,51.803,
literal/3,0.10,85.109,53.209,52.297,53.864,
