group,density,table_kb,fpga_load_s,snort_startup_med_s,snort_startup_min_s,snort_startup_max_s
$FTP_PORTS/0,0.00,2.246,0.011996,1.031909,1.028269,1.032283
$FTP_PORTS/0,0.01,2.246,0.011986,1.031542,1.030488,1.032197
$FTP_PORTS/0,0.10,2.246,0.011997,1.03052,1.03005,1.031507
$ORACLE_PORTS/1,0.00,28.574,0.016978,1.03311,1.031614,1.033899
$ORACLE_PORTS/1,0.01,28.574,0.016994,1.033131,1.031863,1.033579
$ORACLE_PORTS/1,0.10,28.574,0.017978,1.032103,1.031819,1.032426
$SIP_PORTS/0,0.00,0.977,0.015993,1.031432,1.030152,1.03213
$SIP_PORTS/0,0.01,0.977,0.015983,1.031505,1.03038,1.032872
$SIP_PORTS/0,0.10,0.977,0.012005,1.03039,1.029969,1.031043
any/0,0.00,123.789,0.032994,1.044619,1.044415,1.047311
any/0,0.01,123.789,0.032996,1.044181,1.044094,1.047054
any/0,0.10,123.789,0.034003,1.04421,1.04382,1.047249
literal/3,0.00,85.109,0.027987,1.03813,1.037961,1.040831
literal/3,0.01,85.109,0.026996,1.037884,1.037843,1.040823
literal/3,0.10,85.109,0.026993,1.038214,0.040182,1.038745
