group,density,table_kb,snort_mbps_med,snort_mbps_min,snort_mbps_max,snort_net_mbps_med,snort_net_mbps_min,snort_net_mbps_max,fpga_engine_mbps,fpga_e2e_mbps
$FTP_PORTS/0,0.00,2.246,4.993,4.325,5.213,48.039,36.379,59.699,48.883,0.026
$FTP_PORTS/0,0.01,2.246,4.872,4.409,5.129,304.481,259.133,349.829,48.867,0.026
$FTP_PORTS/0,0.10,2.246,4.874,4.467,5.085,256.405,71.973,440.837,48.686,0.027
$ORACLE_PORTS/1,0.00,28.574,4.97,4.812,5.203,273.148,273.148,273.148,49.567,0.027
$ORACLE_PORTS/1,0.01,28.574,4.808,4.562,5.058,457.507,413.232,501.782,49.506,0.027
$ORACLE_PORTS/1,0.10,28.574,4.464,4.355,5.013,42.352,34.818,169.846,48.961,0.027
$SIP_PORTS/0,0.00,0.977,4.751,4.437,5.121,87.937,44.117,151.126,48.882,0.027
$SIP_PORTS/0,0.01,0.977,4.916,4.633,5.044,109.03,93.216,124.843,48.874,0.026
$SIP_PORTS/0,0.10,0.977,4.634,4.613,4.988,101.209,96.992,107.437,48.796,0.026
any/0,0.00,123.789,4.758,4.533,5.111,77.214,74.776,338.271,31.904,0.027
any/0,0.01,123.789,4.685,4.568,5.175,78.716,55.347,79.601,31.904,0.027
any/0,0.10,123.789,4.657,4.47,4.666,65.901,41.435,67.839,31.855,0.026
literal/3,0.00,85.109,4.58,4.411,4.994,66.893,53.929,97.984,35.49,0.026
literal/3,0.01,85.109,4.632,4.403,5.086,67.827,66.547,261.258,35.487,0.026
literal/3,0.10,85.109,4.546,4.422,4.822,,,,35.403,0.026
