group            density  side   packets  oracle_hits  missing  extra  pass
---------------  -------  -----  -------  -----------  -------  -----  ----
$FTP_PORTS/0     0.00     fpga   20000    0            0        0      PASS
$FTP_PORTS/0     0.00     snort  20000    0            0        0      PASS
$FTP_PORTS/0     0.01     fpga   20000    200          0        0      PASS
$FTP_PORTS/0     0.01     snort  20000    200          0        0      PASS
$FTP_PORTS/0     0.10     fpga   20000    2000         0        0      PASS
$FTP_PORTS/0     0.10     snort  20000    2000         0        0      PASS
$ORACLE_PORTS/1  0.00     fpga   20000    0            0        0      PASS
$ORACLE_PORTS/1  0.00     snort  20000    0            0        0      PASS
$ORACLE_PORTS/1  0.01     fpga   20000    250          0        0      PASS
$ORACLE_PORTS/1  0.01     snort  20000    250          0        0      PASS
$ORACLE_PORTS/1  0.10     fpga   20000    2445         0        0      PASS
$ORACLE_PORTS/1  0.10     snort  20000    2445         0        0      PASS
$SIP_PORTS/0     0.00     fpga   20000    0            0        0      PASS
$SIP_PORTS/0     0.00     snort  20000    0            0        0      PASS
$SIP_PORTS/0     0.01     fpga   20000    200          0        0      PASS
$SIP_PORTS/0     0.01     snort  20000    200          0        0      PASS
$SIP_PORTS/0     0.10     fpga   20000    2000         0        0      PASS
$SIP_PORTS/0     0.10     snort  20000    2000         0        0      PASS
any/0            0.00     fpga   20000    21211        0        0      PASS
any/0            0.00     snort  20000    21211        0        0      PASS
any/0            0.01     fpga   20000    21447        0        0      PASS
any/0            0.01     snort  20000    21447        0        0      PASS
any/0            0.10     fpga   20000    23040        0        0      PASS
any/0            0.10     snort  20000    23040        0        0      PASS
literal/3        0.00     fpga   20000    42553        0        0      PASS
literal/3        0.00     snort  20000    42553        0        0      PASS
literal/3        0.01     fpga   20000    43138        0        0      PASS
literal/3        0.01     snort  20000    43138        0        0      PASS
literal/3        0.10     fpga   20000    45036        0        0      PASS
literal/3        0.10     snort  20000    45036        0        0      PASS
