t_s,swap_ms,group
0.01,13.891,$SIP_PORTS/0
8.18,15.972,$FTP_PORTS/0
16.32,20.985,$ORACLE_PORTS/1
24.44,25.971,literal/3
32.15,30.976,any/0
40.27,11.98,$SIP_PORTS/0
48.39,15.976,$FTP_PORTS/0
56.09,17.969,$ORACLE_PORTS/1
64.19,26.981,literal/3
72.31,30.982,any/0
80.41,11.973,$SIP_PORTS/0
88.08,11.96,$FTP_PORTS/0
96.22,18.979,$ORACLE_PORTS/1
104.35,25.971,literal/3
112.06,30.977,any/0
120.17,15.983,$SIP_PORTS/0
128.26,11.982,$FTP_PORTS/0
136.37,19.979,$ORACLE_PORTS/1
144.05,24.976,literal/3
152.19,32.97,any/0
160.31,11.976,$SIP_PORTS/0
168.42,11.96,$FTP_PORTS/0
176.12,16.967,$ORACLE_PORTS/1
184.24,24.972,literal/3
192.38,32.984,any/0
200.05,11.976,$SIP_PORTS/0
208.14,11.982,$FTP_PORTS/0
216.28,17.985,$ORACLE_PORTS/1
224.41,23.994,literal/3
232.11,30.981,any/0
240.21,15.989,$SIP_PORTS/0
248.33,11.956,$FTP_PORTS/0
256.03,16.978,$ORACLE_PORTS/1
264.15,25.974,literal/3
272.29,36.989,any/0
280.39,15.974,$SIP_PORTS/0
288.06,15.974,$FTP_PORTS/0
296.17,16.978,$ORACLE_PORTS/1
304.29,24.971,literal/3
312.42,32.971,any/0
320.09,15.972,$SIP_PORTS/0
328.21,15.965,$FTP_PORTS/0
336.31,17.967,$ORACLE_PORTS/1
344.43,25.996,literal/3
352.14,31.002,any/0
360.24,11.972,$SIP_PORTS/0
368.35,15.978,$FTP_PORTS/0
376.04,16.962,$ORACLE_PORTS/1
384.16,24.974,literal/3
392.29,35.989,any/0
400.38,15.973,$SIP_PORTS/0
408.08,12.972,$FTP_PORTS/0
416.18,16.986,$ORACLE_PORTS/1
424.29,25.97,literal/3
432.41,35.975,any/0
440.11,11.965,$SIP_PORTS/0
448.23,17.974,$FTP_PORTS/0
456.37,20.982,$ORACLE_PORTS/1
464.07,25.969,literal/3
472.23,34.973,any/0
480.34,15.971,$SIP_PORTS/0
488.44,15.967,$FTP_PORTS/0
496.14,20.973,$ORACLE_PORTS/1
