table_kb,swap_ms,group
0.977,13.891,$SIP_PORTS/0
2.246,15.972,$FTP_PORTS/0
28.574,20.985,$ORACLE_PORTS/1
85.109,25.971,literal/3
123.789,30.976,any/0
0.977,11.98,$SIP_PORTS/0
2.246,15.976,$FTP_PORTS/0
28.574,17.969,$ORACLE_PORTS/1
85.109,26.981,literal/3
123.789,30.982,any/0
0.977,11.973,$SIP_PORTS/0
2.246,11.96,$FTP_PORTS/0
28.574,18.979,$ORACLE_PORTS/1
85.109,25.971,literal/3
123.789,30.977,any/0
0.977,15.983,$SIP_PORTS/0
2.246,11.982,$FTP_PORTS/0
28.574,19.979,$ORACLE_PORTS/1
85.109,24.976,literal/3
123.789,32.97,any/0
0.977,11.976,$SIP_PORTS/0
2.246,11.96,$FTP_PORTS/0
28.574,16.967,$ORACLE_PORTS/1
85.109,24.972,literal/3
123.789,32.984,any/0
0.977,11.976,$SIP_PORTS/0
2.246,11.982,$FTP_PORTS/0
28.574,17.985,$ORACLE_PORTS/1
85.109,23.994,literal/3
123.789,30.981,any/0
0.977,15.989,$SIP_PORTS/0
2.246,11.956,$FTP_PORTS/0
28.574,16.978,$ORACLE_PORTS/1
85.109,25.974,literal/3
123.789,36.989,any/0
0.977,15.974,$SIP_PORTS/0
2.246,15.974,$FTP_PORTS/0
28.574,16.978,$ORACLE_PORTS/1
85.109,24.971,literal/3
123.789,32.971,any/0
0.977,15.972,$SIP_PORTS/0
2.246,15.965,$FTP_PORTS/0
28.574,17.967,$ORACLE_PORTS/1
85.109,25.996,literal/3
123.789,31.002,any/0
0.977,11.972,$SIP_PORTS/0
2.246,15.978,$FTP_PORTS/0
28.574,16.962,$ORACLE_PORTS/1
85.109,24.974,literal/3
123.789,35.989,any/0
0.977,15.973,$SIP_PORTS/0
2.246,12.972,$FTP_PORTS/0
28.574,16.986,$ORACLE_PORTS/1
85.109,25.97,literal/3
123.789,35.975,any/0
0.977,11.965,$SIP_PORTS/0
2.246,17.974,$FTP_PORTS/0
28.574,20.982,$ORACLE_PORTS/1
85.109,25.969,literal/3
123.789,34.973,any/0
0.977,15.971,$SIP_PORTS/0
2.246,15.967,$FTP_PORTS/0
28.574,20.973,$ORACLE_PORTS/1
