t_s,cumulative_nominations
0.05,3
0.47,6
0.9,9
1.33,12
1.75,12
2.17,15
2.6,18
3.03,21
3.46,24
3.88,24
4.3,27
4.73,30
5.16,33
5.58,36
6.01,36
6.44,39
6.86,42
7.3,45
7.72,48
8.15,48
8.58,51
9.01,54
9.44,57
9.86,60
10.29,60
10.71,63
11.14,66
11.56,69
11.98,72
12.42,72
12.84,75
13.27,78
13.69,81
14.12,84
14.55,84
14.98,87
15.41,90
15.83,93
16.25,96
16.7,96
17.12,101
17.55,109
17.98,116
18.41,122
18.84,122
19.26,126
19.69,130
20.11,134
20.54,138
20.97,138
21.39,143
21.82,151
22.24,158
22.67,164
23.09,164
23.52,168
23.94,172
24.37,176
24.82,184
25.25,184
25.68,189
26.1,196
26.53,202
26.95,206
27.38,206
27.8,212
28.22,216
28.65,221
29.07,229
29.5,229
29.92,234
30.35,241
30.77,247
31.19,251
31.62,251
32.05,257
32.51,261
32.93,265
33.36,269
33.78,269
34.2,274
34.63,279
35.05,283
35.47,287
35.91,287
36.33,291
36.76,295
37.18,299
37.61,303
38.03,303
38.46,308
38.88,313
39.31,317
39.73,321
40.16,321
40.6,324
41.03,327
41.45,330
41.88,333
42.3,333
42.73,336
43.16,339
43.58,342
44.01,345
44.44,345
44.86,348
45.29,351
45.71,354
46.14,357
46.57,357
47.0,360
47.43,363
47.85,366
48.28,369
48.72,369
49.15,372
49.57,375
50.0,378
50.43,381
50.85,381
51.28,384
51.71,387
52.13,390
52.56,393
52.99,393
53.41,396
53.84,399
54.27,402
54.69,405
55.12,405
55.55,408
55.97,411
56.4,414
56.85,420
57.27,420
57.7,424
58.12,428
58.55,432
58.97,436
59.4,436
59.83,441
